wavenumber_cm-1,intensity
1127.2120200333889,4.551102598972188e-168
1133.2220367278796,1.0365425075781846e-171
1139.2320534223707,2.156952042545472e-175
1145.2420701168614,4.1008769992773614e-179
1151.2520868113522,7.123540198722829e-183
1157.262103505843,1.130571145787636e-186
1163.272120200334,1.6393919454506869e-190
1169.2821368948248,2.1719537775271352e-194
1175.2921535893156,2.6290645060040587e-198
1181.3021702838064,2.9076008503829235e-202
1187.3121869782972,2.937996095397432e-206
1193.322203672788,2.7123799361966515e-210
1199.3322203672788,2.2878772189851183e-214
1205.3422370617695,1.7631846103513597e-218
1211.3522537562603,1.2414971901112641e-222
1217.362270450751,7.986869294002184e-227
1223.372287145242,4.6945102897670175e-231
1229.382303839733,2.5210815565443992e-235
1235.3923205342237,1.2369905362869198e-239
1241.4023372287145,5.5453471703345056e-244
1247.4123539232055,2.2712973076417247e-248
1253.4223706176963,8.499670955998911e-253
1259.432387312187,2.9061171843466437e-257
1265.4424040066779,9.078351908234564e-262
1271.4524207011686,2.591097684941342e-266
1277.4624373956594,6.756836979417942e-271
1283.4724540901502,1.6098520961516254e-275
1289.482470784641,3.504381635160726e-280
1295.4924874791318,6.979951531717848e-285
1301.5025041736226,5.3459256143154e-283
1307.5125208681134,2.5696342440043772e-278
1313.5225375626044,1.1285029421825605e-273
1319.5325542570952,4.528109932209932e-269
1325.542570951586,1.6600230183426785e-264
1331.5525876460767,5.5602477125686086e-260
1337.5626043405678,1.70159833493275e-255
1343.5726210350585,4.757763449056053e-251
1349.5826377295493,1.2154343921766563e-246
1355.5926544240401,2.8368938016170294e-242
1361.602671118531,6.0497512444808684e-238
1367.6126878130217,1.1787313614563971e-233
1373.6227045075125,2.098336047197229e-229
1379.6327212020033,3.412857271429067e-225
1385.642737896494,5.071589483534594e-221
1391.6527545909848,6.885776798053166e-217
1397.6627712854756,8.541707021864828e-213
1403.6727879799666,9.680979114790397e-209
1409.6828046744574,1.0024824470176524e-204
1415.6928213689482,9.484559225290774e-201
1421.702838063439,8.198613443273906e-197
1427.7128547579298,6.4751010401032e-193
1433.7228714524208,4.672352185556968e-189
1439.7328881469116,3.080402548318148e-185
1445.7429048414024,1.8555055550904913e-181
1451.7529215358932,1.0211744159143821e-177
1457.762938230384,5.134763840595963e-174
1463.7729549248747,2.358978075918807e-170
1469.7829716193655,9.901710324864494e-167
1475.7929883138563,3.797339361103846e-163
1481.8030050083473,1.3305508810585616e-159
1487.8130217028381,4.259576718454892e-156
1493.823038397329,1.2459031511459684e-152
1499.8330550918197,3.329545895276485e-149
1505.8430717863105,8.129589356389506e-146
1511.8530884808013,1.8135732195750038e-142
1517.863105175292,3.696446807777456e-139
1523.873121869783,6.88361718018335e-136
1529.8831385642738,1.1712020947235886e-132
1535.8931552587646,1.8206642009815817e-129
1541.9031719532554,2.5858941712593956e-126
1547.9131886477462,3.3556335152871494e-123
1553.923205342237,3.978516663253934e-120
1559.9332220367278,4.309736532201074e-117
1565.9432387312188,4.2654331791880675e-114
1571.9532554257096,3.85707822052657e-111
1577.9632721202004,3.186666623444965e-108
1583.9732888146912,2.40545755934173e-105
1589.983305509182,1.6589819003130637e-102
1595.9933222036727,1.0453662597452355e-99
1602.0033388981635,6.018360402181679e-97
1608.0133555926543,3.1657075056255214e-94
1614.0233722871453,1.5214099852237595e-91
1620.033388981636,6.680433119587482e-89
1626.043405676127,2.6800682912604085e-86
1632.0534223706177,9.823584436242573e-84
1638.0634390651085,3.2898567362029305e-81
1644.0734557595993,1.0066230519424834e-78
1650.08347245409,2.814100731239701e-76
1656.093489148581,7.187788478512936e-74
1662.1035058430718,1.677389110645246e-71
1668.1135225375626,3.576475317877787e-69
1674.1235392320534,6.967220043881829e-67
1680.1335559265442,1.240071434662358e-64
1686.143572621035,2.0165860656958086e-62
1692.1535893155258,2.996192428543471e-60
1698.1636060100168,4.0672936089914026e-58
1704.1736227045076,5.044570875992283e-56
1710.1836393989984,5.716442165520237e-54
1716.1936560934892,5.918481325200567e-52
1722.20367278798,5.59857668282945e-50
1728.2136894824707,4.838690704631286e-48
1734.2237061769615,3.820858684191609e-46
1740.2337228714523,2.7566204294640684e-44
1746.2437395659433,1.8170875267087487e-42
1752.253756260434,1.094353436014078e-40
1758.263772954925,6.021743413875745e-39
1764.2737896494157,3.027399735300309e-37
1770.2838063439065,1.390593428655778e-35
1776.2938230383972,5.835975483032819e-34
1782.303839732888,2.2377400079500313e-32
1788.313856427379,7.839505628108753e-31
1794.3238731218698,2.50928856635612e-29
1800.3338898163606,7.338299302522524e-28
1806.3439065108514,1.9607540297533725e-26
1812.3539232053422,4.786672266513532e-25
1818.363939899833,1.0676456922723409e-23
1824.3739565943238,2.175722449038933e-22
1830.3839732888148,4.051004404052574e-21
1836.3939899833056,6.8913581265357e-20
1842.4040066777964,1.071099473653153e-18
1848.4140233722871,1.521029628759499e-17
1854.424040066778,1.9734604348435596e-16
1860.4340567612687,2.3393869102141395e-15
1866.4440734557595,2.5337197055516514e-14
1872.4540901502503,2.5072518733517097e-13
1878.4641068447413,2.2668367337733625e-12
1884.474123539232,1.8725154114336614e-11
1890.4841402337229,1.4132319317317474e-10
1896.4941569282137,9.745056567502932e-10
1902.5041736227045,6.139573020952298e-09
1908.5141903171952,3.534067624007872e-08
1914.524207011686,1.858636337764995e-07
1920.534223706177,8.930933873740363e-07
1926.5442404006678,3.920867856767999e-06
1932.5542570951586,1.5727164142470077e-05
1938.5642737896494,5.76370195556722e-05
1944.5742904841402,0.0001929903050314339
1950.584307178631,0.0005904081608349304
1956.5943238731218,0.0016502589354708145
1962.6043405676128,0.0042143899334084
1968.6143572621036,0.00983332109433768
1974.6243739565944,0.020962767007373945
1980.6343906510851,0.040830046622410555
1986.644407345576,0.07265977122898006
1992.6544240400667,0.1181383928109569
1998.6644407345575,0.17549751537835845
2004.6744574290485,0.23819561824712346
2010.6844741235393,0.29537888431697085
2016.69449081803,0.33466323535449843
2022.7045075125209,0.34643315309655115
2028.7145242070117,0.32765271412048413
2034.7245409015025,0.283133315652389
2040.7345575959932,0.22353784594578882
